"Designator","Footprint","Quantity","Value","LCSC Part #"
"3V3, 5V, PA3","0603","3","LED","C2286"
"BOOT","SW-SMD_L3.9-W3.0-P4.45","1","BOOT","C455280"
"C1, C11, C2, C7, C8","0603","5","1uF","C15849"
"C10, C13, C14, C3, C4, C5, C6, C9","0603","8","100nF","C14663"
"C12","0603","1","10nF","C57112"
"DEBUG","PinHeader_1x04_P2.54mm_Vertical","1","Conn_01x04","C2691448"
"IMU1","LGA-14_L3.0-W2.5-P0.50-TL","1","LSM6DS3TR-C","C967633"
"J1","PinHeader_1x09_P2.54mm_Vertical","1","Header Left","C18213723"
"J2","PinHeader_1x09_P2.54mm_Vertical","1","Header Right","C18213723"
"PA2","SW-SMD_L3.9-W3.0-P4.45","1","PA2","C455280"
"R1, R2","0603","2","5.1k","C23186"
"R10, R11, R3, R8, R9","0603","5","10k","C25804"
"R4, R5","0603","2","100k","C25803"
"R6, R7","0603","2","4.7k","C23162"
"RESET","SW-SMD_L3.9-W3.0-P4.45","1","RESET","C455280"
"STM32","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL","1","STM32G431CBT6","C529355"
"U1","SOT-23-3","1","XC6206PxxxMR","C5446"
"USB-C1","USB-C-SMD_TYPE-C-16PIN-2MD-073","1","TYPE-C 16PIN 2MD","C2765186"
