Designator,Mid X,Mid Y,Rotation,Layer
3V3,140.39,-83.85,270.0,top
5V,137.09,-83.8625,270.0,top
BOOT,138.09,-115.45,180.0,top
C1,136.98,-91.81,270.0,top
C10,155.115,-97.85,270.0,top
C11,140.19,-100.31,180.0,top
C12,140.19,-98.61,180.0,top
C13,158.815,-101.35,90.0,top
C14,156.08,-104.18,0.0,top
C2,139.97,-95.005,180.0,top
C3,140.22,-102.46,0.0,top
C4,140.19,-104.21,0.0,top
C5,140.19,-105.94,0.0,top
C6,140.19,-107.65,0.0,top
C7,140.225,-109.31,0.0,top
C8,140.225,-111.02,0.0,top
C9,154.19,-115.45,90.0,top
DEBUG,147.77,-81.72,90.0,top
IMU1,156.115,-101.36,0.0,top
J1,132.6,-98.9,180.0,top
J2,163.6,-98.93,180.0,top
PA2,156.11,-86.68,180.0,top
PA3,156.18,-90.78,0.0,top
R1,156.09,-109.35,0.0,top
R10,156.135,-92.48,180.0,top
R11,163.58,-85.6,0.0,top
R2,156.09,-110.95,0.0,top
R3,141.99,-115.55,270.0,top
R4,156.09,-107.45,0.0,top
R5,156.09,-105.75,180.0,top
R6,158.415,-97.85,90.0,top
R7,156.815,-97.85,90.0,top
R8,137.09,-86.95,270.0,top
R9,140.39,-86.95,270.0,top
RESET,158.09,-115.45,180.0,top
STM32,147.99,-101.65,90.0,top
U1,140.365,-91.91,180.0,top
USB-C1,148.09,-114.1675,0.0,top
